id	left	target	right	lemma
roll/n/wlp_ph_b01/216914	times I 've dined there and each one is just more memorable than the last . Here 's a few of Chef Cecille 's delectable creations : <p> Prawn Fresh	Rolls	<p> Sala Daeng <p> Sticky Rice with Mango <p> Thai Bistro has generously offered to give one of my readers a GC worth P2,500 so he or she too can	roll
roll/n/wlp_ph_b01/307283	good to use . I made 24 pieces of egg rolls , each measuring 8 inches long . When cut in half , the total amount of Lumpia Shanghai egg	rolls	made for 10 to 12 servings . A recipe for Pineapple Sweet Sour sauce follows below . This dish can be served as an appetizer , a snack or an	roll
bun/n/wlp_ph_b01/7512149	to learn more about medication to take , you can log on to this website and read about Depakote , anticholinergics and other prescription drugs . ##3565968 <h> Tone Your	Buns	And Thighs With These Effective Workouts <p> Published November 26 , 2012 <p> One of the most challenging areas for women to get to look the way they want is	bun
roll/n/wlp_ph_b01/307780	to fry evenly . Use tongs to move them around the skillet . Turn them around every 50 seconds to 1 minute . <p> When cooked , drain the egg	rolls	on paper towels or parchment paper to remove excess oil . This also will maintain the crispness in the egg rolls . Cut the 8 inch egg rolls in half	roll
roll/n/wlp_ph_b01/3112048	About 20 inches of snow equals just an inch of actual water , and many areas have rain deficits of a foot or more . <p> R.j . Matson /	Roll	Call , Politicalcartoons.com <p> Click here to view this cartoon @ @ @ @ @ @ @ @ @ @ US news from ##3559682 <p> Let 's Have Fun in	roll
roll/n/wlp_ph_b01/1803383	@ @ @ prank ( at least according to the way the movie The Social Network told the story ) . <p> I propose we add female nipples to the	rolls	of humanity 's marginalized and oppressed . It 's time we reclaim their rights ! <p> This is blasphemy ! ! ! ! ! All nipples , male and female	roll
roll/n/wlp_ph_b01/5946363	! <p> Ca n't wait for Christmas ? Are you as excited as me ? Before your head spins round and round let 's start our day merry with Santa	Roll	by Nelphy Games a free android game for Christmas . <p> The simple physic game application is easy to manage @ @ @ @ @ @ @ @ @ @	roll
bun/n/wlp_ph_b01/3834976	, so we can install these things as early as possible . While some of those in power of capable of speeding up the process are just sitting on their	buns	in their cozy residences ... some of our fishermen just got " accidentally " rammed by a Chinese vessel at Scarborough ! ! ! Some families are now missing a	bun
roll/n/wlp_ph_b01/14318853	16 , 2012 11:38 pm <p> Footloose says @ @ @ @ @ @ @ @ @ @ crabapple and tiny hind trotters appended on either end of this boneless	roll	of roasted pork belly can definitely serve as a stunning center piece that will make the spirit definitely brighter for anyone although I 'm sure a lot of people order	roll
roll/n/wlp_ph_b01/221730	at the Sunday Night Market in Chiang Mai for THB 100 or $3 each. * I could use them either day or night . They 're easy to fold or	roll	and do n't weigh a lot in my pack . Since they 're also very cheap , I do n't mind giving it up or donating them in case I	roll
